"V1","V2"
2.80136516783386,5.34345840336755
3.29770825570449,8.16655797418207
7.65049650100991,8.58451839536428
6.29502636380494,9.83342237072065
0.517855770885944,4.45600082166493
9.527051623445,2.30405546491966
8.37528387317434,9.97104437788948
2.80247836373746,2.09007760277018
9.05576258664951,6.35003988165408
3.75964991981164,4.6989665646106
3.79564439179376,1.94818888558075
5.34460281720385,2.29173653526232
9.81681075645611,0.509440854657441
1.19321521604434,6.13308139145374
8.74572016531602,8.30664456123486
0.877442245837301,6.42922246130183
7.40233292337507,7.97145050019026
5.04572974750772,3.46970031736419
8.02661232883111,2.11864759447053
4.5397406979464,3.91422686632723
7.53705172333866,2.41825400153175
9.63062391383573,0.667412015609443
0.181541277561337,3.78039716975763
4.70452255103737,1.03016983252019
9.26786012249067,6.16412527859211
2.02761902939528,9.36303653288633
0.837070946581662,5.30588599387556
7.45038536377251,5.8601283095777
1.66667301906273,7.51957235392183
3.8692636275664,1.45438415696844
9.67907966580242,0.907138548791409
4.77539611048996,0.654704174958169
6.64241031277925,4.23521945718676
3.10482854722068,7.53109562909231
4.52544320141897,3.15672005293891
7.65182043192908,2.88287812611088
0.555237708613276,6.01972441188991
2.71861562971026,4.0357538103126
4.53038023551926,3.43481539050117
6.79928809171543,3.64952231990173
1.55823195818812,9.30650368565693
5.20971899619326,4.75290386471897
1.01368472678587,9.36875212006271
6.90087900497019,6.9352611224167
7.95245841378346,2.52826900687069
5.0062292534858,0.0923972064629197
7.42082960903645,1.56891697784886
2.05327736912295,1.13975142594427
3.30551096471027,5.48726771492511
7.63668928761035,0.559165978338569
6.2557308957912,8.43708059750497
3.52990386774763,0.165982195176184
7.55809101974592,1.13123112823814
0.896764521021396,6.59845914458856
2.85787182860076,8.85556979337707
1.10225276090205,0.93100685859099
4.95410278672352,7.63414075830951
8.95075316308066,2.37362866057083
2.10094280308113,0.133303478360176
7.74445262737572,2.80691570835188
8.98237258894369,0.691472636535764
7.6056878361851,1.91341511206701
9.73430258454755,8.34688467672095
2.27975950110704,3.04465724620968
9.95425507426262,0.857987934723496
2.54561938578263,2.73034023586661
1.03833079803735,7.13124969508499
9.87056921236217,8.67438568966463
6.98507360182703,7.96615266008303
6.49899406824261,4.95124133303761
1.18900669040158,3.75187787925825
9.28509931778535,3.38962212903425
0.994049631990492,7.54060896346346
4.75673214532435,5.33158072503284
7.27836402831599,2.33567939372733
3.42212919378653,4.24446462886408
9.09197118831798,2.11639061802998
6.1834089900367,2.86299408879131
2.39247425459325,9.03462528716773
8.71407246217132,3.18268970353529
8.44755860744044,8.68679360020906
5.28732617851347,9.34077923418954
9.66872175456956,4.45496973115951
9.28887231042609,2.24494237918407
8.97335046669468,5.42770916363224
1.81230190908536,4.2199886823073
0.434967940673232,5.87975914124399
3.42699280241504,3.59032277250662
4.5429021702148,5.0552242109552
7.26104759378359,7.12808307725936
0.188688568305224,1.01569715654477
2.56755425827578,6.84006341965869
7.29481374146417,7.09898520028219
1.90352328820154,6.97747848229483
9.61967776762322,3.58307948336005
0.631342176347971,5.0097675435245
6.47448297357187,7.83439516322687
0.0300708506256342,1.49085300276056
0.392453211825341,2.80554795404896
5.77404240844771,6.8472583941184
6.6729184682481,8.34611600963399
